Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 79531980ns or 0.079531980s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 65072277ns or 0.065072277s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 64807901ns or 0.064807901s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 65041489ns or 0.065041489s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 67779704ns or 0.067779704s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 71313270ns or 0.071313270s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 65013539ns or 0.065013539s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 64743103ns or 0.064743103s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 67621398ns or 0.067621398s
Password: RA2740
Password: HT8230
Password: FS8320
Password: BV7810
Time elapsed was 64983411ns or 0.064983411s
